0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.31,0.42,0.69,0.74,0.55,0.52,0.31,0.43,0.2,0.59,0.33,0.34,0.52,0.33,0.23,0.37,0.43,0.29,0.31,0.33,0.27,0.63,0.34,0.32,0.16,0.35,0.21,0.0,0.33,0.27,0.26,0.73,0.48,0.34,0.39,0.32,0.33,0.4,0.26,0.52,0.22,0.68,0.56,0.43,0.68,0.26,0.61,0.61,0.44,0.34
0.23,0.38,0.31,0.68,0.32,0.19,0.2,0.45,0.41,0.24,0.51,0.89,0.24,0.21,0.14,0.23,0.54,0.39,0.15,0.33,0.47,0.17,0.5,0.31,0.24,0.44,0.24,0.25,0.0,0.38,0.29,0.39,0.51,0.57,0.28,0.46,0.49,0.48,0.3,0.58,0.18,0.44,0.63,0.19,0.34,0.53,0.36,0.4,0.53,0.24
0.16,0.23,0.67,0.31,0.53,0.49,0.21,0.45,0.19,0.5,0.21,0.35,0.69,0.12,0.2,0.36,0.33,0.27,0.18,0.23,0.26,0.45,0.43,0.35,0.17,0.48,0.14,0.25,0.19,0.0,0.26,0.69,0.52,0.61,0.39,0.4,0.49,0.58,0.3,0.41,0.3,0.34,0.49,0.29,0.65,0.27,0.42,0.64,0.34,0.46
0.37,0.52,0.36,0.76,0.48,0.6,0.55,0.36,0.21,0.41,0.32,0.85,0.47,0.29,0.34,0.26,0.61,0.32,0.39,0.33,0.32,0.53,0.27,0.39,0.36,0.3,0.24,0.38,0.43,0.34,0.0,0.71,0.62,0.62,0.37,0.78,0.64,0.45,0.41,0.76,0.26,0.53,0.51,0.25,0.37,0.34,0.47,0.39,0.5,0.43
0.15,0.4,0.3,0.3,0.16,0.4,0.15,0.13,0.2,0.2,0.27,0.37,0.46,0.11,0.12,0.06,0.35,0.37,0.25,0.2,0.15,0.19,0.4,0.29,0.22,0.15,0.13,0.27,0.17,0.23,0.29,0.0,0.2,0.26,0.08,0.23,0.31,0.26,0.21,0.44,0.22,0.37,0.39,0.22,0.25,0.15,0.32,0.27,0.31,0.24
0.2,0.14,0.53,0.63,0.29,0.16,0.12,0.24,0.43,0.21,0.18,0.7,0.35,0.23,0.21,0.23,0.53,0.39,0.13,0.27,0.34,0.25,0.48,0.49,0.28,0.18,0.17,0.33,0.45,0.23,0.25,0.28,0.0,0.3,0.45,0.39,0.6,0.42,0.21,0.41,0.14,0.55,0.31,0.21,0.53,0.3,0.33,0.57,0.55,0.22
0.12,0.31,0.71,0.59,0.41,0.19,0.2,0.36,0.22,0.36,0.21,0.59,0.6,0.14,0.14,0.06,0.34,0.21,0.17,0.34,0.23,0.25,0.18,0.19,0.19,0.26,0.14,0.2,0.34,0.38,0.35,0.29,0.22,0.0,0.15,0.49,0.41,0.51,0.21,0.38,0.22,0.33,0.32,0.12,0.35,0.16,0.28,0.24,0.26,0.47
0.41,0.34,0.28,0.75,0.23,0.31,0.24,0.3,0.15,0.31,0.54,0.6,0.8,0.34,0.29,0.21,0.33,0.63,0.2,0.26,0.17,0.38,0.25,0.79,0.26,0.28,0.29,0.33,0.39,0.29,0.3,0.38,0.55,0.33,0.0,0.31,0.41,0.35,0.29,0.32,0.31,0.47,0.56,0.52,0.5,0.25,0.3,0.54,0.33,0.3
0.17,0.4,0.34,0.52,0.31,0.22,0.24,0.47,0.43,0.31,0.18,0.74,0.33,0.13,0.16,0.21,0.31,0.22,0.1,0.33,0.29,0.21,0.3,0.3,0.21,0.37,0.14,0.18,0.54,0.36,0.21,0.24,0.37,0.51,0.17,0.0,0.27,0.41,0.21,0.5,0.2,0.45,0.26,0.19,0.3,0.21,0.22,0.37,0.36,0.26
0.25,0.41,0.51,0.45,0.39,0.23,0.19,0.38,0.27,0.14,0.24,0.63,0.63,0.17,0.17,0.15,0.13,0.26,0.08,0.24,0.21,0.24,0.28,0.26,0.11,0.33,0.13,0.19,0.51,0.2,0.36,0.39,0.32,0.37,0.17,0.42,0.0,0.54,0.16,0.52,0.11,0.24,0.25,0.17,0.31,0.25,0.26,0.4,0.59,0.22
0.21,0.54,0.54,0.44,0.43,0.38,0.11,0.3,0.12,0.37,0.34,0.47,0.71,0.08,0.14,0.17,0.44,0.23,0.15,0.23,0.18,0.21,0.2,0.4,0.2,0.24,0.13,0.23,0.2,0.42,0.25,0.61,0.46,0.49,0.18,0.47,0.45,0.0,0.19,0.5,0.24,0.33,0.63,0.12,0.61,0.18,0.44,0.21,0.32,0.39
0.34,0.59,0.36,0.32,0.25,0.24,0.37,0.45,0.3,0.54,0.25,0.45,0.54,0.13,0.17,0.32,0.21,0.44,0.35,0.4,0.18,0.2,0.29,0.23,0.22,0.2,0.21,0.25,0.27,0.25,0.25,0.38,0.33,0.36,0.24,0.32,0.36,0.25,0.0,0.36,0.18,0.35,0.47,0.32,0.45,0.25,0.45,0.26,0.35,0.22
0.28,0.55,0.57,0.67,0.32,0.23,0.16,0.18,0.22,0.26,0.19,0.76,0.3,0.18,0.16,0.17,0.27,0.28,0.21,0.25,0.34,0.32,0.37,0.42,0.14,0.36,0.17,0.33,0.42,0.4,0.1,0.53,0.4,0.38,0.26,0.5,0.48,0.49,0.32,0.0,0.35,0.53,0.37,0.23,0.39,0.28,0.38,0.31,0.57,0.55
0.24,0.25,0.47,0.55,0.27,0.39,0.31,0.3,0.54,0.54,0.56,0.51,0.62,0.2,0.49,0.2,0.56,0.68,0.34,0.47,0.34,0.51,0.43,0.66,0.5,0.33,0.34,0.26,0.49,0.38,0.31,0.78,0.43,0.41,0.58,0.4,0.74,0.36,0.33,0.65,0.0,0.46,0.47,0.57,0.6,0.32,0.61,0.4,0.7,0.53
0.3,0.23,0.6,0.59,0.17,0.26,0.12,0.4,0.22,0.24,0.19,0.37,0.34,0.18,0.25,0.17,0.31,0.26,0.22,0.38,0.32,0.3,0.45,0.31,0.17,0.19,0.11,0.32,0.29,0.37,0.33,0.25,0.45,0.39,0.3,0.27,0.38,0.47,0.15,0.46,0.2,0.0,0.38,0.16,0.46,0.27,0.3,0.45,0.37,0.37
0.12,0.22,0.31,0.22,0.22,0.37,0.08,0.21,0.19,0.41,0.37,0.37,0.51,0.06,0.13,0.11,0.26,0.21,0.2,0.33,0.14,0.24,0.16,0.45,0.07,0.19,0.24,0.12,0.25,0.22,0.12,0.35,0.27,0.21,0.21,0.21,0.25,0.34,0.19,0.32,0.17,0.2,0.0,0.1,0.58,0.19,0.57,0.2,0.59,0.51
0.15,0.42,0.63,0.35,0.34,0.3,0.31,0.36,0.3,0.57,0.3,0.51,0.93,0.21,0.41,0.17,0.52,0.35,0.18,0.31,0.3,0.42,0.3,0.17,0.31,0.45,0.2,0.51,0.29,0.71,0.3,0.35,0.24,0.35,0.35,0.45,0.41,0.75,0.44,0.36,0.43,0.71,0.66,0.0,0.71,0.4,0.5,0.48,0.46,0.32
0.12,0.27,0.51,0.54,0.28,0.31,0.16,0.35,0.23,0.27,0.15,0.38,0.57,0.14,0.12,0.08,0.49,0.22,0.17,0.08,0.17,0.23,0.19,0.39,0.24,0.1,0.13,0.32,0.19,0.3,0.22,0.3,0.2,0.23,0.07,0.32,0.43,0.39,0.18,0.25,0.07,0.51,0.39,0.29,0.0,0.11,0.56,0.25,0.31,0.16
0.19,0.24,0.35,0.29,0.24,0.24,0.14,0.26,0.21,0.21,0.18,0.35,0.3,0.23,0.17,0.17,0.21,0.25,0.14,0.51,0.27,0.24,0.23,0.48,0.17,0.23,0.2,0.22,0.47,0.28,0.17,0.35,0.22,0.29,0.24,0.4,0.25,0.25,0.28,0.28,0.2,0.26,0.36,0.19,0.27,0.0,0.25,0.28,0.23,0.17
0.1,0.43,0.29,0.27,0.2,0.2,0.23,0.14,0.13,0.2,0.26,0.42,0.33,0.15,0.14,0.13,0.32,0.16,0.07,0.16,0.14,0.16,0.19,0.29,0.32,0.1,0.25,0.16,0.25,0.16,0.17,0.23,0.28,0.26,0.11,0.23,0.22,0.43,0.21,0.18,0.17,0.25,0.43,0.33,0.44,0.19,0.0,0.21,0.27,0.25
0.1,0.36,0.24,0.47,0.17,0.2,0.12,0.16,0.14,0.22,0.21,0.27,0.28,0.17,0.31,0.14,0.19,0.3,0.22,0.17,0.3,0.29,0.29,0.27,0.22,0.15,0.14,0.38,0.17,0.35,0.18,0.28,0.43,0.22,0.46,0.28,0.19,0.4,0.22,0.32,0.2,0.5,0.35,0.21,0.25,0.14,0.26,0.0,0.28,0.38
0.26,0.12,0.28,0.28,0.25,0.32,0.21,0.41,0.29,0.2,0.15,0.65,0.26,0.21,0.14,0.11,0.14,0.26,0.27,0.24,0.16,0.13,0.27,0.27,0.16,0.18,0.24,0.13,0.13,0.26,0.11,0.33,0.31,0.26,0.16,0.29,0.4,0.49,0.18,0.22,0.3,0.25,0.39,0.3,0.34,0.22,0.17,0.25,0.0,0.27
0.29,0.35,0.38,0.3,0.49,0.43,0.13,0.25,0.19,0.28,0.33,0.38,0.67,0.14,0.1,0.28,0.3,0.17,0.21,0.35,0.19,0.22,0.25,0.3,0.13,0.34,0.22,0.16,0.43,0.54,0.21,0.42,0.32,0.53,0.17,0.37,0.4,0.61,0.25,0.45,0.41,0.45,0.49,0.27,0.45,0.3,0.34,0.36,0.32,0.0
